dob,kind,name
2011-12-31,bird,Charlie
2008-05-21,bird,Angel
2003-08-13,bird,Skittles
2006-06-26,bird,Baby
2002-05-05,bird,Bogart
2001-02-17,bird,Coco
2001-07-21,bird,Jet
2003-04-24,bird,Kiwi
2012-07-05,bird,Max
2010-12-30,bird,Me
2014-05-21,bird,Shadow
2007-10-31,bird,Sunshine
2007-09-03,bird,Baxter
2009-02-08,bird,Bobo
2011-08-25,bird,ELMO
2012-10-27,bird,Getty
2014-04-15,bird,Harley
2005-12-16,bird,Indy
2002-05-27,bird,Isabelle
2003-12-10,bird,Jewel
2008-10-21,bird,Maxwell
2006-05-11,bird,Oliver
2013-03-27,bird,Paco
2008-11-19,bird,Polly
2006-02-26,bird,Pumpkin
2002-08-02,bird,Rio
2011-11-11,bird,Rocky
2001-03-12,bird,Shygo
2013-12-24,bird,Star
2002-07-20,bird,Starburst
2007-02-12,bird,Sunny
2005-06-24,bird,Tweety
2000-11-05,bird,Chicks!
2011-04-03,bird,Abu
2006-05-03,bird,Aiden
2002-07-24,bird,Aigle
2008-12-01,bird,Andrew
2004-06-21,bird,Angry Bird
2009-02-06,bird,Apricot
2000-03-06,bird,Arriba
2004-08-30,bird,Auzzie
2008-07-25,bird,Axel
2013-10-30,bird,Azul
2010-03-31,bird,Baby Bird
2004-07-03,bird,Baby Blue
2000-07-20,bird,Bailey
2007-08-09,bird,Barney
2009-06-01,bird,BB
2003-11-13,bird,Berri
2009-08-09,bird,Beryl
2003-12-05,bird,Betty-Boop
2006-10-02,bird,Beyonce
2009-07-04,bird,Bibi
2010-02-09,bird,Big Al
2012-12-11,bird,Big Blue
2000-10-21,bird,Birdy
2006-01-31,bird,Blinky
2009-11-12,bird,Blu
2003-10-08,bird,Blue
2013-08-29,bird,Bluella
2008-08-22,bird,Greenie
2004-11-16,bird,Bobbi
2000-09-04,bird,BonBon
2003-01-11,bird,Bonita
2008-09-03,bird,Bonnie Blue
2011-02-21,bird,Boo-Boo
2005-01-20,bird,Boomer
2004-03-28,bird,Bot
2007-03-08,bird,Boychick
2014-08-07,bird,Bram
2001-02-06,bird,Bubba
2004-04-17,bird,Buddy
2014-07-16,bird,Buttons
2001-04-29,bird,Calypso
2006-03-23,bird,Caroline
2014-06-14,bird,Cash
2011-10-09,bird,Charly
2014-09-07,bird,Cherri
2003-06-23,bird,Chewy
2001-02-16,bird,Chibi
2003-10-26,bird,Chili
2011-05-25,bird,Chip
2011-03-08,bird,Chiquita
2001-06-12,bird,Chirpie
2008-07-29,bird,Chirpy
2006-02-25,bird,Chloe
2010-05-19,bird,Chole
2006-04-26,bird,Cleo
2002-09-19,bird,Clucky
2010-06-18,bird,Cock-Cock
2013-10-27,bird,Coconut
2002-05-07,bird,Cocotail
2014-04-30,bird,Cookies
2013-03-12,bird,Coralline
2010-10-11,bird,Cracker
2001-03-25,bird,Crickett
2012-11-08,bird,Crystal
2005-09-08,bird,Curly
2010-07-26,bird,Daisy
2003-01-14,bird,Daisy Duck
